"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KimKFact: The ones in the family that still have their blackberry's they have @TMobile. But they have @VerizonWireless for their iPhone…",FALSE,0,NA,2015-03-03 03:37:51,FALSE,NA,"572601755374133248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_RanduDelgado",2,TRUE,FALSE,NA,NA
"2","RT @TMobile: .@askdes shows off the #SixAppeal of @SamsungMobileUS’ new #GalaxyS6. Pre-register now! http://t.co/NYsUGMKyJQ
https://t.co/cV…",FALSE,0,NA,2015-03-03 03:37:41,FALSE,NA,"572601714143977472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LokiKnowsBest21",202,TRUE,FALSE,NA,NA
"3","@TMobile how much longer till the WiFi/VoLTE calling update is ready for the @googlenexus 6?",FALSE,0,"TMobile",2015-03-03 03:32:32,FALSE,NA,"572600416757796864","17338082","<a href=""http://mvilla.it/fenix"" rel=""nofollow"">Fenix for Android</a>","gadget_hero",0,FALSE,FALSE,NA,NA
"4","RT @TMobile: Out of the box &amp; onto your screen. Check out the new #HTCOneM9 w/ @askdes! Pre-reg is open! http://t.co/km0BuNadI4
https://t.c…",FALSE,0,NA,2015-03-03 03:30:09,FALSE,NA,"572599816649351168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dommismom3",150,TRUE,FALSE,NA,NA
"5",".@VerizonWireless charged me $15 for 9MB of data (first ""overage""), took ~50 mins to get $5 of that credited back. hey @TMobile what's up?",FALSE,0,NA,2015-03-03 03:30:06,FALSE,NA,"572599804141957120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ni0b11100",0,FALSE,FALSE,"0","0"
"6","Will @askdes @TMobile get the Lumia 640XL?",FALSE,0,NA,2015-03-03 03:27:24,FALSE,NA,"572599125759287296",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DavdSanchezz",0,FALSE,FALSE,NA,NA
"7","“@JollieDeLeon50: Officially with AT&amp;T<ed><U+00A0><U+00BD><ed><U+00B9><U+008C> screw you T-Mobile” @TMobile",FALSE,1,"JollieDeLeon50",2015-03-03 03:26:57,FALSE,"572598753661603842","572599012143996928","1593571976","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kenbriann",0,FALSE,FALSE,NA,NA
"8","@TMobile I'm sorry",FALSE,0,"TMobile",2015-03-03 03:26:37,FALSE,NA,"572598926731157504","17338082","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DjMonte856",0,FALSE,FALSE,NA,NA
"9","RT @JohnLegere: “@TMobile's network team has a history of being on the bleeding edge of new technologies.” #BOOM  http://t.co/nUj7RrV7pw",FALSE,0,NA,2015-03-03 03:26:23,FALSE,NA,"572598869252542464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","freddyp87",13,TRUE,FALSE,NA,NA
"10","RT @CNNMoney: Soon you will be able to buy smartphone not through @Verizon @sprint @TMobile but w @google http://t.co/pRNr7qcN3v http://t.c…",FALSE,0,NA,2015-03-03 03:22:52,FALSE,NA,"572597982673145857",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","goldenboyatl",54,TRUE,FALSE,NA,NA
"11","RT @CNNMoney: Soon you will be able to buy smartphone not through @Verizon @sprint @TMobile but w @google http://t.co/pRNr7qcN3v http://t.c…",FALSE,0,NA,2015-03-03 03:22:00,FALSE,NA,"572597764636475393",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","chelomg",54,TRUE,FALSE,NA,NA
"12","RT @CNNMoney: Soon you will be able to buy smartphone not through @Verizon @sprint @TMobile but w @google http://t.co/pRNr7qcN3v http://t.c…",FALSE,0,NA,2015-03-03 03:21:57,FALSE,NA,"572597753764818944",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","alidaram",54,TRUE,FALSE,NA,NA
"13","@TMobile @askdes @SamsungMobileUS",FALSE,0,"TMobile",2015-03-03 03:20:41,FALSE,"572094105431326720","572597435928850432","17338082","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bosley_m",0,FALSE,FALSE,NA,NA
"14","I HATE @TMobile... I need a new phone but they charge an arm, a leg, an ass cheek and a thumb. Ugh",FALSE,0,NA,2015-03-03 03:18:42,FALSE,NA,"572596936185802754",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","honeybjackson",0,FALSE,FALSE,NA,NA
"15","@SprintSales No. Was talking about @VerizonFiOS. Tried all cell carriers. In my area Sprint was worst coverage. Very happy with @TMobile",FALSE,0,"SprintSales",2015-03-03 03:16:53,FALSE,"572439890782101504","572596478000025601","2359844324","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jdearmond",0,FALSE,FALSE,NA,NA
"16","RT @CNNMoney: Soon you will be able to buy smartphone not through @Verizon @sprint @TMobile but w @google http://t.co/pRNr7qcN3v http://t.c…",FALSE,0,NA,2015-03-03 03:16:22,FALSE,NA,"572596348496838657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Quijoteando",54,TRUE,FALSE,NA,NA
"17","@JayWinell @tmobile_webcare @JohnLegere @TMobile If TMO stays loyal to my discount, il gladly jump ship from @vodafoneNL :p x",FALSE,1,"JayWinell",2015-03-03 03:14:37,FALSE,"572595511934504961","572595909378248706","2797226778","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaigeAppaire",0,FALSE,FALSE,"0","0"
"18","@ReynielUyy @TMobile <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"ReynielUyy",2015-03-03 03:14:26,FALSE,"572595319931736064","572595862385242112","445228859","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ross_Boss09",0,FALSE,FALSE,NA,NA
"19","@PaigeAppaire @tmobile_webcare @JohnLegere I am a big @tmobile follower already but agree, you are doing a great job driving #tmobilepride",FALSE,0,"PaigeAppaire",2015-03-03 03:13:03,FALSE,"572593871323983872","572595511934504961","2888672349","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JayWinell",0,FALSE,FALSE,NA,NA
"20","Why yall not working? @TMobile",FALSE,0,NA,2015-03-03 03:12:32,FALSE,NA,"572595383760785409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_mamaesme",0,FALSE,FALSE,NA,NA
"21","Fuck you bitch @TMobile",FALSE,1,NA,2015-03-03 03:12:17,FALSE,NA,"572595319931736064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ReynielUyy",0,FALSE,FALSE,NA,NA
"22","The porn videos I watch on my phone don't take forever to load. Thanks @TMobile fuck you pussy boy @sprint",FALSE,1,NA,2015-03-03 03:10:06,FALSE,NA,"572594770876366848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ImCapAngels",0,FALSE,FALSE,NA,NA
"23","Thankful for the replacement but still freaking out. I am a bit of a princess. People usually do this stuff for me. @TMobile #wheretostart",FALSE,0,NA,2015-03-03 03:07:09,FALSE,NA,"572594027624710144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrobin032009",0,FALSE,FALSE,NA,NA
"24","@JayWinell @tmobile_webcare @JohnLegere I should already get a rebate for all this publicity I'm making for @TMobile :P",FALSE,1,"JayWinell",2015-03-03 03:06:31,FALSE,"572528508339150848","572593871323983872","2797226778","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaigeAppaire",0,FALSE,FALSE,"0","0"
"25","spoke to someone else @tmobile, restored my faith in their tech support. very cool dude named daniel. told me to ask for him next time.",FALSE,0,NA,2015-03-03 03:03:31,FALSE,NA,"572593113044140034",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tokenseeker",0,FALSE,FALSE,NA,NA
"26","RT @GeekifiedTV: @TMobile Please bring the @microsoft #Lumia640XL, would love this device!",FALSE,0,NA,2015-03-03 03:02:29,FALSE,NA,"572592853764972545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PhoneDynasty",1,TRUE,FALSE,NA,NA
"27","RT @TheDailyShare: Pepper will Hula Hoop her way to your heart. #AlltheFeelings (Presented by @TMobile)
https://t.co/WErbfB2nsy",FALSE,0,NA,2015-03-03 03:02:27,FALSE,NA,"572592846387224576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AustinLouis5",3,TRUE,FALSE,NA,NA
